team_number,team_name,division,hhg,hhs,hsg,hss,avg
7,Day Drinkers,1,935,2643,706,2014,584
4,Gutter Dusters**,1,893,2516,602,1676,512
8,J.A.M.M.,1,890,2519,580,1634,493
1,Pin Pals*,1,879,2564,557,1598,484
2,The Dam Store,1,928,2644,652,1747,527
5,The Four Babes,1,894,2556,600,1674,508
6,Turkey Hunters,1,925,2583,654,1770,536
3,Want "A" B's,1,926,2576,676,1865,548
