team_number,team_name,division,hhg,hhs,hsg,hss,avg
9,AuSable River Store,1,1369,3653,1142,3000,924
1,Good Ole Boys,1,1303,3724,835,2322,668
5,Gutter Sluts,1,1247,3672,891,2631,809
2,Irish Pub,1,1299,3721,994,2952,807
6,JJ's Bugz,1,1443,3801,1238,3186,947
4,Two Low Home Solutions*,1,1277,3665,1006,2811,893
10,Vinnie's Hardware,1,1336,3759,1033,2850,847
7,Vista Lounge,1,1271,3730,1094,3199,928
3,Wojahn Rug Rats**,1,1274,3776,960,2795,839
8,WTF,1,1312,3747,1210,3441,1035
