team_number,team_name,division,hhg,hhs,hsg,hss,avg
4,Bowling Stones*,1,1220,3523,840,2347,663
10,BYE,1,0,0,0,0,0
8,Fantasy Five,1,1221,3464,819,2391,680
9,Jokers Wild,1,1244,3522,992,2819,665
6,Livin On A Spare,1,1220,3538,854,2433,664
2,Pin Busters,1,1221,3610,849,2509,610
5,Seal Team Five,1,1279,3570,948,2577,778
7,The Bowl Overs**,1,1230,3493,915,2548,733
1,The Pinbowl Wizards,1,1304,3733,1074,3043,885
3,Wild Bunch,1,1268,3513,960,2505,774
