team_number,team_name,division,hhg,hhs,hsg,hss,avg
4,AuSable River Store,1,889,2557,591,1658,488
3,Beth's Harborwaves Salon,1,957,2568,707,1818,553
8,Brother X George,1,928,2583,642,1725,518
10,Irish Pub,1,896,2562,584,1642,493
6,Kudos Fire Service,1,918,2668,692,1990,566
7,Lamrock Electric,1,928,2585,626,1679,544
1,Vista Lanes,1,903,2630,697,2012,603
5,Vista Lounge,1,914,2610,762,2154,633
9,Wave Kisser,1,908,2558,706,1921,618
2,Wellman's,1,926,2689,651,1864,542
