team_number,team_name,division,hhg,hhs,hsg,hss,avg
4,Al's Nuts & Bolts,1,1268,3589,1055,2931,864
10,B6-Feeds,1,1283,3739,987,2731,819
2,BC Woodworks,1,1342,3732,1088,2970,902
1,Brian's Plumbing & Heati,1,1337,3670,1147,3104,924
12,BYE,1,0,0,0,0,0
5,Desi's*,1,1295,3627,1034,2853,864
3,Family Fare,1,1346,3669,976,2850,786
8,Gilbert Drug,1,1261,3661,817,2404,715
6,Pat's Handyman Service,1,1351,3789,1091,2979,897
7,Tackleland,1,1388,3845,1099,2978,871
11,Trans Auto Glass,1,1359,3858,1134,3183,942
9,Vista Lanes,1,1336,3687,1089,2959,913
